c_id,c_name,pid,r_id,c_cc_name,c_cc_number,c_cc_expiration_month,c_cc_expiration_year,c_cc_cvv,c_billing_street,c_billing_city,c_billing_state,c_billing_zip,c_username,c_password,c_customer_since,c_package_start,c_package_end,c_phone,c_email,c_street_address,c_city,c_state,c_zip,c_newsletter
95,Kial Gosland,2,2,Kial Gosland,8867097454793610,3,21,232,0 Harbort Trail,Redwood City,CA,94064,kgosland2m,crUIgHy,3/20/18 7:16,3/20/18 7:16,6/28/19,6501756916,kgosland2m@1688.com,0 Harbort Trail,Redwood City,CA,94064,0
96,Lauri Capponer,18,3,Lauri Capponer,4999579807264080,2,27,373,97 North Junction,Brooklyn,NY,11236,lcapponer2n,DFFf1OnmI2n,3/2/18 3:26,3/2/18 3:26,6/29/19,7181949156,lcapponer2n@slate.com,97 North Junction,Brooklyn,NY,11236,1
97,Benoite Arger,12,3,Benoite Arger,9205479449483410,5,20,887,8492 Mallory Road,New York City,NY,10039,barger2o,xipDk5lEQJ,3/9/18 13:43,3/9/18 13:43,6/30/19,9176235213,barger2o@businessweek.com,8492 Mallory Road,New York City,NY,10039,1
98,Elke Coalburn,13,2,Elke Coalburn,2366859868216260,6,21,334,813 Garrison Street,Sacramento,CA,94230,ecoalburn2p,yJiJIB,2/28/18 15:51,2/28/18 15:51,7/1/19,9167245302,ecoalburn2p@biblegateway.com,813 Garrison Street,Sacramento,CA,94230,0
99,Aron Jarratt,13,3,Aron Jarratt,4007007794196650,3,19,226,41 Meadow Ridge Center,New York City,NY,10014,ajarratt2q,3hI6pK,3/12/18 12:45,3/12/18 12:45,7/2/19,3475226687,ajarratt2q@bandcamp.com,41 Meadow Ridge Center,New York City,NY,10014,1
100,Farah Brevetor,4,3,Farah Brevetor,6626270221594860,1,20,286,38644 Vidon Drive,Bronx,NY,10469,fbrevetor2r,Mq1KHNOu,3/26/18 3:29,3/26/18 3:29,7/3/19,7186851850,fbrevetor2r@washington.edu,38644 Vidon Drive,Bronx,NY,10469,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,
